sitio,muestreo,fecha,id_variable,media,desvio,conteo
trinidad,5,2023-04-24T00:00:00Z,ps_fr,9.490448,1.3305991364244962,1200
chacon,1,2022-12-26T00:00:00Z,ps_sem,NA,NA,600
los_sauces,1,2022-12-20T00:00:00Z,ps_sem,NA,NA,360
santa_florentina,1,2023-02-07T00:00:00Z,ps_sem,2.4868,0.5278504652952145,300
tilimuqui,1,2023-02-07T00:00:00Z,ps_sem,3.2618,0.2556513616805062,300
trinidad,1,2022-12-26T00:00:00Z,ps_sem,NA,NA,300
agua_amarga,2,2023-02-13T00:00:00Z,ps_sem,2.5687939393939394,0.43386816169814535,960
chacon,2,2023-01-30T00:00:00Z,ps_sem,1.05022,0.34162687443729106,600
la_consulta,2,2023-02-07T00:00:00Z,ps_sem,1.8958,0.3979601331270865,600
los_sauces,2,2023-01-25T00:00:00Z,ps_sem,1.3970851063829788,0.3227051250186985,600
santa_florentina,2,2023-03-16T00:00:00Z,ps_sem,5.3176,0.9091485082391353,300
tilimuqui,2,2023-03-16T00:00:00Z,ps_sem,6.094,0.1687818269912209,450
trinidad,2,2023-01-25T00:00:00Z,ps_sem,0.9777755102040816,0.344900298120974,600
agua_amarga,3,2023-03-13T00:00:00Z,ps_sem,4.467070212765957,0.5861788150051811,960
chacon,3,2023-02-27T00:00:00Z,ps_sem,2.7711333333333332,0.8117141328431143,600
la_consulta,3,2023-03-06T00:00:00Z,ps_sem,3.7488,0.6639314001380108,600
los_sauces,3,2023-03-08T00:00:00Z,ps_sem,4.692815,0.7908165564869818,600
santa_florentina,3,2023-04-01T00:00:00Z,ps_sem,6.354,1.104198103655233,450
trinidad,3,2023-02-27T00:00:00Z,ps_sem,2.8393061224489795,0.5519422066526277,600
agua_amarga,4,2023-03-24T00:00:00Z,ps_sem,4.8606727272727275,0.3159406077968005,1440
chacon,4,2023-04-10T00:00:00Z,ps_sem,5.475429629629629,0.30687923523345506,900
la_consulta,4,2023-04-13T00:00:00Z,ps_sem,5.522,0.2445561061527677,900
los_sauces,4,2023-03-29T00:00:00Z,ps_sem,5.522,0.2445561061527677,750
trinidad,4,2023-03-30T00:00:00Z,ps_sem,4.20516,0.8451545945539504,600
trinidad,5,2023-04-24T00:00:00Z,ps_sem,4.13264,0.8056719560305851,1200
