"";"sitio";"id_planta";"fruto";"fecha";"muestreo";"d1";"long";"pf_fr";"ps_fr";"pf_sem";"ps_sem";"d_sem";"l_sem";"p_36h_sem";"hilera";"planta";"d2";"diam_medio";"ps_cas"
"153";"los_sauces";"10_6";3;2023-01-25;2;40;43,6;37,06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"154";"los_sauces";"10_6";4;2023-01-25;2;44,5;49,8;53,57;NA;5,8;1,844;NA;NA;NA;NA;NA;NA;NA;NA
"155";"los_sauces";"10_6";5;2023-01-25;2;44,8;49,3;52,87;NA;5,8;1,398;NA;NA;NA;NA;NA;NA;NA;NA
"156";"los_sauces";"10_6";6;2023-01-25;2;43,4;51,1;52,21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"157";"los_sauces";"10_6";7;2023-01-25;2;42,8;45,8;45,38;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"158";"los_sauces";"10_6";8;2023-01-25;2;40,1;45,6;41,24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"159";"los_sauces";"10_6";9;2023-01-25;2;40,7;49,9;38,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"160";"los_sauces";"10_6";10;2023-01-25;2;44,6;48,4;52,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"161";"los_sauces";"5_12";1;2023-03-08;3;44,8;47,6;47,9;NA;8;5,358;NA;NA;NA;NA;NA;NA;NA;NA
"162";"los_sauces";"5_12";2;2023-03-08;3;45,9;51,7;56,7;NA;7,8;5,574;NA;NA;NA;NA;NA;NA;NA;NA
"163";"los_sauces";"5_12";3;2023-03-08;3;40,3;46,3;40,4;NA;5;3,275;NA;NA;NA;NA;NA;NA;NA;NA
"164";"los_sauces";"5_12";4;2023-03-08;3;44;49,3;51,9;NA;6,6;4,538;NA;NA;NA;NA;NA;NA;NA;NA
"165";"los_sauces";"5_12";5;2023-03-08;3;39,9;46;40,6;NA;5,3;3,473;NA;NA;NA;NA;NA;NA;NA;NA
"166";"los_sauces";"5_12";6;2023-03-08;3;42,3;47,4;46,9;NA;5,4;3,8586;NA;NA;NA;NA;NA;NA;NA;NA
"167";"los_sauces";"5_12";7;2023-03-08;3;45,9;46,7;53,3;NA;4,7;NA;NA;NA;NA;NA;NA;NA;NA;NA
"168";"los_sauces";"5_12";8;2023-03-08;3;44;48,6;51,5;NA;6,3;NA;NA;NA;NA;NA;NA;NA;NA;NA
"169";"los_sauces";"5_12";9;2023-03-08;3;39,4;41,4;34,8;NA;7,3;NA;NA;NA;NA;NA;NA;NA;NA;NA
